,Order,POSITION,SINGLE.CLUMP,Date,Timepoint,Treatment,Zoox,Tank,Replicate,Plate,Well,Mom,Dad,Family,Genetic,Recruit,Survival.T1,Condition
1,1,centre flat,s,30/12/2019,T1,26,C1,1,1,1,2,BK,SB,BKxSB,CrossAmbo,1.1.2.1,2,2
2,7313,centre flat,s,25/02/2019,T8,26,C1,1,1,1,2,BK,SB,BKxSB,CrossAmbo,1.1.2.1,2,2
3,2,centre flat,s,30/12/2019,T1,26,C1,1,1,1,3,BK,SB,BKxSB,CrossAmbo,1.1.3.1,2,1
4,7314,centre flat,s,25/02/2019,T8,26,C1,1,1,1,3,BK,SB,BKxSB,CrossAmbo,1.1.3.1,2,1
5,3,centre flat,s,30/12/2019,T1,26,C1,1,1,1,3,BK,SB,BKxSB,CrossAmbo,1.1.3.2,2,1
6,7315,centre flat,s,25/02/2019,T8,26,C1,1,1,1,3,BK,SB,BKxSB,CrossAmbo,1.1.3.2,2,1
7,4,centre flat,s,30/12/2019,T1,26,C1,1,1,1,3,BK,SB,BKxSB,CrossAmbo,1.1.3.3,2,1
8,7316,centre flat,s,25/02/2019,T8,26,C1,1,1,1,3,BK,SB,BKxSB,CrossAmbo,1.1.3.3,2,1
9,5,centre flat,s,30/12/2019,T1,26,C1,1,1,1,4,LS,LS,LSxLS,PureAmbo,1.1.4.1,2,1
10,7317,centre flat,s,25/02/2019,T8,26,C1,1,1,1,4,LS,LS,LSxLS,PureAmbo,1.1.4.1,2,1
11,11,centre flat,s,30/12/2019,T1,26,C1,1,1,1,5,LS,LS,LSxLS,PureAmbo,1.1.5.1,2,1
12,7323,centre flat,s,25/02/2019,T8,26,C1,1,1,1,5,LS,LS,LSxLS,PureAmbo,1.1.5.1,1,0
13,42,centre flat,s,30/12/2019,T1,26,C1,1,1,11,1,SB,BK,SBxBK,CrossAmbo,1.11.1.1,2,1
14,7354,centre flat,s,25/02/2019,T8,26,C1,1,1,11,1,SB,BK,SBxBK,CrossAmbo,1.11.1.1,2,1
15,43,centre flat,s,30/12/2019,T1,26,C1,1,1,11,1,SB,BK,SBxBK,CrossAmbo,1.11.1.2,2,1
16,7355,centre flat,s,25/02/2019,T8,26,C1,1,1,11,1,SB,BK,SBxBK,CrossAmbo,1.11.1.2,2,1
17,47,centre flat,s,30/12/2019,T1,26,C1,1,1,11,2,SB,BK,SBxBK,CrossAmbo,1.11.2.1,2,1
18,7359,centre flat,s,25/02/2019,T8,26,C1,1,1,11,2,SB,BK,SBxBK,CrossAmbo,1.11.2.1,2,1
19,48,centre flat,s,30/12/2019,T1,26,C1,1,1,11,2,SB,BK,SBxBK,CrossAmbo,1.11.2.2,2,1
