Time,Month,Year,Temp,Reef,Bleaching,Lat,Long
1/01/2013,Jan,2013,29.6631947,Curd,nonbleach,-12.58499,143.51148
2/01/2013,Jan,2013,29.6821728,Curd,nonbleach,-12.58499,143.51148
3/01/2013,Jan,2013,29.6869049,Curd,nonbleach,-12.58499,143.51148
4/01/2013,Jan,2013,29.650671,Curd,nonbleach,-12.58499,143.51148
5/01/2013,Jan,2013,29.7023239,Curd,nonbleach,-12.58499,143.51148
6/01/2013,Jan,2013,29.6888504,Curd,nonbleach,-12.58499,143.51148
7/01/2013,Jan,2013,29.6130695,Curd,nonbleach,-12.58499,143.51148
8/01/2013,Jan,2013,29.5536232,Curd,nonbleach,-12.58499,143.51148
9/01/2013,Jan,2013,29.8191261,Curd,nonbleach,-12.58499,143.51148
10/01/2013,Jan,2013,29.8650188,Curd,nonbleach,-12.58499,143.51148
11/01/2013,Jan,2013,29.912817,Curd,nonbleach,-12.58499,143.51148
12/01/2013,Jan,2013,29.7428989,Curd,nonbleach,-12.58499,143.51148
13/01/2013,Jan,2013,29.9375744,Curd,nonbleach,-12.58499,143.51148
14/01/2013,Jan,2013,29.9979229,Curd,nonbleach,-12.58499,143.51148
15/01/2013,Jan,2013,30.0775471,Curd,nonbleach,-12.58499,143.51148
16/01/2013,Jan,2013,30.0041847,Curd,nonbleach,-12.58499,143.51148
17/01/2013,Jan,2013,30.0108662,Curd,nonbleach,-12.58499,143.51148
18/01/2013,Jan,2013,30.0500793,Curd,nonbleach,-12.58499,143.51148
19/01/2013,Jan,2013,30.0125027,Curd,nonbleach,-12.58499,143.51148
20/01/2013,Jan,2013,29.938839,Curd,nonbleach,-12.58499,143.51148
21/01/2013,Jan,2013,29.7121296,Curd,nonbleach,-12.58499,143.51148
22/01/2013,Jan,2013,29.5648518,Curd,nonbleach,-12.58499,143.51148
23/01/2013,Jan,2013,29.5606461,Curd,nonbleach,-12.58499,143.51148
24/01/2013,Jan,2013,29.3054752,Curd,nonbleach,-12.58499,143.51148
25/01/2013,Jan,2013,28.9895096,Curd,nonbleach,-12.58499,143.51148
26/01/2013,Jan,2013,28.8038368,Curd,nonbleach,-12.58499,143.51148
27/01/2013,Jan,2013,28.526329,Curd,nonbleach,-12.58499,143.51148
28/01/2013,Jan,2013,28.2871609,Curd,nonbleach,-12.58499,143.51148
29/01/2013,Jan,2013,28.2842216,Curd,nonbleach,-12.58499,143.51148
30/01/2013,Jan,2013,28.3650799,Curd,nonbleach,-12.58499,143.51148
31/01/2013,Jan,2013,28.3529339,Curd,nonbleach,-12.58499,143.51148
1/01/2013,Jan,2013,28.8465424,Long sandy,nonbleach,-12.50029,143.78481
2/01/2013,Jan,2013,28.7361221,Long sandy,nonbleach,-12.50029,143.78481
3/01/2013,Jan,2013,28.9037247,Long sandy,nonbleach,-12.50029,143.78481
4/01/2013,Jan,2013,28.7873058,Long sandy,nonbleach,-12.50029,143.78481
5/01/2013,Jan,2013,28.7409115,Long sandy,nonbleach,-12.50029,143.78481
6/01/2013,Jan,2013,28.7331238,Long sandy,nonbleach,-12.50029,143.78481
7/01/2013,Jan,2013,28.6568623,Long sandy,nonbleach,-12.50029,143.78481
8/01/2013,Jan,2013,28.6445541,Long sandy,nonbleach,-12.50029,143.78481
9/01/2013,Jan,2013,28.6728897,Long sandy,nonbleach,-12.50029,143.78481
10/01/2013,Jan,2013,28.6685467,Long sandy,nonbleach,-12.50029,143.78481
11/01/2013,Jan,2013,28.6220436,Long sandy,nonbleach,-12.50029,143.78481
12/01/2013,Jan,2013,28.5648327,Long sandy,nonbleach,-12.50029,143.78481
13/01/2013,Jan,2013,28.7323761,Long sandy,nonbleach,-12.50029,143.78481
14/01/2013,Jan,2013,29.404295,Long sandy,nonbleach,-12.50029,143.78481
15/01/2013,Jan,2013,29.7148132,Long sandy,nonbleach,-12.50029,143.78481
16/01/2013,Jan,2013,29.2819157,Long sandy,nonbleach,-12.50029,143.78481
17/01/2013,Jan,2013,29.0637321,Long sandy,nonbleach,-12.50029,143.78481
18/01/2013,Jan,2013,29.0590878,Long sandy,nonbleach,-12.50029,143.78481
19/01/2013,Jan,2013,28.9994259,Long sandy,nonbleach,-12.50029,143.78481
20/01/2013,Jan,2013,28.7890415,Long sandy,nonbleach,-12.50029,143.78481
21/01/2013,Jan,2013,28.5953159,Long sandy,nonbleach,-12.50029,143.78481
22/01/2013,Jan,2013,27.8585377,Long sandy,nonbleach,-12.50029,143.78481
23/01/2013,Jan,2013,27.8822708,Long sandy,nonbleach,-12.50029,143.78481
24/01/2013,Jan,2013,27.6584282,Long sandy,nonbleach,-12.50029,143.78481
25/01/2013,Jan,2013,28.0744858,Long sandy,nonbleach,-12.50029,143.78481
26/01/2013,Jan,2013,28.0138206,Long sandy,nonbleach,-12.50029,143.78481
27/01/2013,Jan,2013,27.9561138,Long sandy,nonbleach,-12.50029,143.78481
28/01/2013,Jan,2013,27.6866703,Long sandy,nonbleach,-12.50029,143.78481
29/01/2013,Jan,2013,27.8148251,Long sandy,nonbleach,-12.50029,143.78481
30/01/2013,Jan,2013,28.0610352,Long sandy,nonbleach,-12.50029,143.78481
31/01/2013,Jan,2013,28.01507,Long sandy,nonbleach,-12.50029,143.78481
1/01/2013,Jan,2013,27.8198891,Davies,nonbleach,-18.821744,147.649492
2/01/2013,Jan,2013,28.2216625,Davies,nonbleach,-18.821744,147.649492
3/01/2013,Jan,2013,28.4319897,Davies,nonbleach,-18.821744,147.649492
4/01/2013,Jan,2013,28.2649994,Davies,nonbleach,-18.821744,147.649492
5/01/2013,Jan,2013,28.2368698,Davies,nonbleach,-18.821744,147.649492
6/01/2013,Jan,2013,28.2405529,Davies,nonbleach,-18.821744,147.649492
7/01/2013,Jan,2013,28.1975555,Davies,nonbleach,-18.821744,147.649492
8/01/2013,Jan,2013,28.1373844,Davies,nonbleach,-18.821744,147.649492
9/01/2013,Jan,2013,28.7291412,Davies,nonbleach,-18.821744,147.649492
10/01/2013,Jan,2013,29.0922031,Davies,nonbleach,-18.821744,147.649492
11/01/2013,Jan,2013,29.0674,Davies,nonbleach,-18.821744,147.649492
12/01/2013,Jan,2013,28.7905331,Davies,nonbleach,-18.821744,147.649492
13/01/2013,Jan,2013,29.1525574,Davies,nonbleach,-18.821744,147.649492
14/01/2013,Jan,2013,29.4477959,Davies,nonbleach,-18.821744,147.649492
15/01/2013,Jan,2013,29.2927685,Davies,nonbleach,-18.821744,147.649492
16/01/2013,Jan,2013,29.0186405,Davies,nonbleach,-18.821744,147.649492
17/01/2013,Jan,2013,29.1731415,Davies,nonbleach,-18.821744,147.649492
18/01/2013,Jan,2013,29.4992599,Davies,nonbleach,-18.821744,147.649492
19/01/2013,Jan,2013,29.2444229,Davies,nonbleach,-18.821744,147.649492
20/01/2013,Jan,2013,28.881525,Davies,nonbleach,-18.821744,147.649492
21/01/2013,Jan,2013,28.4378757,Davies,nonbleach,-18.821744,147.649492
22/01/2013,Jan,2013,28.3553028,Davies,nonbleach,-18.821744,147.649492
23/01/2013,Jan,2013,28.3619137,Davies,nonbleach,-18.821744,147.649492
24/01/2013,Jan,2013,28.2671204,Davies,nonbleach,-18.821744,147.649492
25/01/2013,Jan,2013,28.2999802,Davies,nonbleach,-18.821744,147.649492
26/01/2013,Jan,2013,28.4952564,Davies,nonbleach,-18.821744,147.649492
27/01/2013,Jan,2013,28.4737263,Davies,nonbleach,-18.821744,147.649492
28/01/2013,Jan,2013,28.8982067,Davies,nonbleach,-18.821744,147.649492
29/01/2013,Jan,2013,29.3170948,Davies,nonbleach,-18.821744,147.649492
30/01/2013,Jan,2013,30.1205482,Davies,nonbleach,-18.821744,147.649492
31/01/2013,Jan,2013,29.9021301,Davies,nonbleach,-18.821744,147.649492
1/01/2013,Jan,2013,28.0868015,Backnumbers,nonbleach,-18.507467,147.146435
2/01/2013,Jan,2013,28.4220715,Backnumbers,nonbleach,-18.507467,147.146435
3/01/2013,Jan,2013,28.7606125,Backnumbers,nonbleach,-18.507467,147.146435
