Samplename,Project,Cross,Treatment,Treatment2,Temp,Rep,Tubename,Actualsample,RamaJob,Primer
LsxSbSEDT1A,AGFjuvs18,LsxSb,SEDT1A,Sediment,26C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
DrxCuSEDT1A,AGFjuvs18,DrxCu,SEDT1A,Sediment,26C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
SbxSbSEDT1A,AGFjuvs18,SbxSb,SEDT1A,Sediment,26C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
LsxLsSEDT1A,AGFjuvs18,LsxLs,SEDT1A,Sediment,26C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
BkxDrSEDT1A,AGFjuvs18,BkxDr,SEDT1A,Sediment,26C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
LsxBkSEDT1A,AGFjuvs18,LsxBk,SEDT1A,Sediment,26C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
LsxLsSEDT1H,AGFjuvs18,LsxLs,SEDT1H,Sediment,32C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
CuxDrSEDT1H,AGFjuvs18,CuxDr,SEDT1H,Sediment,32C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
CuxLsSEDT1H,AGFjuvs18,CuxLs,SEDT1H,Sediment,32C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
LsxBkSEDT1H,AGFjuvs18,LsxBk,SEDT1H,Sediment,32C,tank1,A.Tenuis 2018,,BEL7829,PochITS2
CuxLsSEDT2A,AGFjuvs18,CuxLs,SEDT2A,Sediment,26C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
CuxSbSEDT2A,AGFjuvs18,CuxSb,SEDT2A,Sediment,26C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
SbxBkSEDT2A,AGFjuvs18,SbxBk,SEDT2A,Sediment,26C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
LsxBkSEDT2A,AGFjuvs18,LsxBk,SEDT2A,Sediment,26C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
DrxCuSEDT2A,AGFjuvs18,DrxCu,SEDT2A,Sediment,26C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
SbxDrSEDT2H,AGFjuvs18,SbxDr,SEDT2H,Sediment,32C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
SbxSbSEDT2H,AGFjuvs18,SbxSb,SEDT2H,Sediment,32C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
DrxCuSEDT2H,AGFjuvs18,DrxCu,SEDT2H,Sediment,32C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
CuxCuSEDT2H,AGFjuvs18,CuxCu,SEDT2H,Sediment,32C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
BkxDrSEDT2H,AGFjuvs18,BkxDr,SEDT2H,Sediment,32C,tank2,A.Tenuis 2018,,BEL7829,PochITS2
CuxCuSEDT3A,AGFjuvs18,CuxCu,SEDT3A,Sediment,26C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
SbxSbSEDT3A,AGFjuvs18,SbxSb,SEDT3A,Sediment,26C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
LsxCuSEDT3A,AGFjuvs18,LsxCu,SEDT3A,Sediment,26C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
CuxBkSEDT3A,AGFjuvs18,CuxBk,SEDT3A,Sediment,26C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
DrxCuSEDT3A,AGFjuvs18,DrxCu,SEDT3A,Sediment,26C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
BkxCuSEDT3H,AGFjuvs18,BkxCu,SEDT3H,Sediment,32C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
LsxCuSEDT3H,AGFjuvs18,LsxCu,SEDT3H,Sediment,32C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
DrxCuSEDT3H,AGFjuvs18,DrxCu,SEDT3H,Sediment,32C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
CuxDrSEDT3H,AGFjuvs18,CuxDr,SEDT3H,Sediment,32C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
SbxDrSEDT3H,AGFjuvs18,SbxDr,SEDT3H,Sediment,32C,tank3,A.Tenuis 2018,,BEL7829,PochITS2
Carlos160,Monti,,,,,,,,BEL7829,PochITS2
Carlos320,Monti,,,,,,,,BEL7829,PochITS2
1M1_1.1,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
1M1_2.1,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
1M1_2.2,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
2H1_1.3,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
2H2_1.3,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
3A1_1.2,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
3A1_3.3,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
4M1_1.1,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
4M1_2.2,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
5H1_1.3,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
5H1_2.1,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
6A1_2.2,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
6A2_3.2,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
6A2_3.3,Evo21Alyx,,,,,,Amil2017,,BEL7829,PochITS2
