Factor,Source,Rel.Importance.GBM.NatComms,LifeStage,cross,Zoox
ts_frame...2.dim.ts_frame..2...x.,eReefs,29.1001263,Larva,pure,Apo
Temp,eReefs,0.1030167,Larva,pure,Apo
Lat,eReefs,1.6705121,Larva,pure,Apo
sd.y,eReefs,20.4372351,Larva,pure,Apo
TSA_DHWStandardDeviation,CORTAID,32.2155133,Larva,pure,Apo
SSTA_FrequencyStandardDeviation,CORTAID,7.186537,Larva,pure,Apo
DRT,eReefs,9.2870595,Larva,pure,Apo
ts_frame...2.dim.ts_frame..2...x.,eReefs,20.25172617,Larva,hybrid,Apo
Temp,eReefs,0.27025544,Larva,hybrid,Apo
Lat,eReefs,0,Larva,hybrid,Apo
sd.y,eReefs,6.98393955,Larva,hybrid,Apo
TSA_DHWStandardDeviation,CORTAID,2.48242201,Larva,hybrid,Apo
SSTA_FrequencyStandardDeviation,CORTAID,0.09393411,Larva,hybrid,Apo
DRT,eReefs,69.91772271,Larva,hybrid,Apo
ts_frame...2.dim.ts_frame..2...x.,eReefs,63.4099717,Juvenile,pure,C1
Temp,eReefs,5.5235447,Juvenile,pure,C1
Lat,eReefs,0.4162398,Juvenile,pure,C1
sd.y,eReefs,6.8761865,Juvenile,pure,C1
TSA_DHWStandardDeviation,CORTAID,5.8983465,Juvenile,pure,C1
SSTA_FrequencyStandardDeviation,CORTAID,0.5113686,Juvenile,pure,C1
DRT,eReefs,17.3643422,Juvenile,pure,C1
ts_frame...2.dim.ts_frame..2...x.,eReefs,4.8205886,Juvenile,hybrid,C1
Temp,eReefs,1.4972551,Juvenile,hybrid,C1
Lat,eReefs,0.1861719,Juvenile,hybrid,C1
sd.y,eReefs,16.4910532,Juvenile,hybrid,C1
TSA_DHWStandardDeviation,CORTAID,54.7927735,Juvenile,hybrid,C1
SSTA_FrequencyStandardDeviation,CORTAID,16.6982231,Juvenile,hybrid,C1
DRT,eReefs,5.5139346,Juvenile,hybrid,C1
ts_frame...2.dim.ts_frame..2...x.,eReefs,58.110511,Juvenile,pure,D1
Temp,eReefs,8.254139,Juvenile,pure,D1
Lat,eReefs,0,Juvenile,pure,D1
sd.y,eReefs,28.118482,Juvenile,pure,D1
TSA_DHWStandardDeviation,CORTAID,0,Juvenile,pure,D1
SSTA_FrequencyStandardDeviation,CORTAID,1.389443,Juvenile,pure,D1
DRT,eReefs,4.127424,Juvenile,pure,D1
ts_frame...2.dim.ts_frame..2...x.,eReefs,7.0489361,Juvenile,hybrid,D1
Temp,eReefs,0.4358719,Juvenile,hybrid,D1
Lat,eReefs,0.3446882,Juvenile,hybrid,D1
sd.y,eReefs,9.0411179,Juvenile,hybrid,D1
TSA_DHWStandardDeviation,CORTAID,80.5664592,Juvenile,hybrid,D1
SSTA_FrequencyStandardDeviation,CORTAID,0.7991802,Juvenile,hybrid,D1
DRT,eReefs,1.7637465,Juvenile,hybrid,D1
ts_frame...2.dim.ts_frame..2...x.,eReefs,3.385531,Juvenile,pure,SS
Temp,eReefs,9.806625,Juvenile,pure,SS
Lat,eReefs,18.274737,Juvenile,pure,SS
sd.y,eReefs,5.14853,Juvenile,pure,SS
TSA_DHWStandardDeviation,CORTAID,6.821428,Juvenile,pure,SS
SSTA_FrequencyStandardDeviation,CORTAID,40.486005,Juvenile,pure,SS
DRT,eReefs,16.077142,Juvenile,pure,SS
ts_frame...2.dim.ts_frame..2...x.,eReefs,11.850243,Juvenile,hybrid,SS
Temp,eReefs,12.885471,Juvenile,hybrid,SS
Lat,eReefs,1.231672,Juvenile,hybrid,SS
sd.y,eReefs,15.008593,Juvenile,hybrid,SS
TSA_DHWStandardDeviation,CORTAID,45.987875,Juvenile,hybrid,SS
SSTA_FrequencyStandardDeviation,CORTAID,5.306343,Juvenile,hybrid,SS
DRT,eReefs,7.729803,Juvenile,hybrid,SS
ts_frame...2.dim.ts_frame..2...x.,eReefs,2.159914,Juvenile,pure,SED
Temp,eReefs,4.032383,Juvenile,pure,SED
Lat,eReefs,0,Juvenile,pure,SED
sd.y,eReefs,72.083001,Juvenile,pure,SED
TSA_DHWStandardDeviation,CORTAID,0.336265,Juvenile,pure,SED
SSTA_FrequencyStandardDeviation,CORTAID,19.195179,Juvenile,pure,SED
DRT,eReefs,2.193258,Juvenile,pure,SED
ts_frame...2.dim.ts_frame..2...x.,eReefs,3.5703305,Juvenile,hybrid,SED
Temp,eReefs,1.8987077,Juvenile,hybrid,SED
Lat,eReefs,0.1215362,Juvenile,hybrid,SED
sd.y,eReefs,0.8649821,Juvenile,hybrid,SED
TSA_DHWStandardDeviation,CORTAID,84.1215376,Juvenile,hybrid,SED
SSTA_FrequencyStandardDeviation,CORTAID,6.66521,Juvenile,hybrid,SED
DRT,eReefs,2.7576959,Juvenile,hybrid,SED
R2,R2,0.8358012,Larva,pure,Apo
R2,R2,0.2138032,Larva,hybrid,Apo
R2,R2,0.2682126,Juvenile,pure,C1
R2,R2,0.1042259,Juvenile,hybrid,C1
R2,R2,0.1808424,Juvenile,pure,D1
R2,R2,0.2658846,Juvenile,hybrid,D1
R2,R2,0.04588781,Juvenile,pure,SS
R2,R2,0.1091409,Juvenile,hybrid,SS
R2,R2,0.3867789,Juvenile,pure,SED
R2,R2,0.2328021,Juvenile,hybrid,SED
