order,Date,Time,Cumulative.hrs,Timepoint,Treatment,Treatment,Boat,Parentage,Well,Alive,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook,lifestage,n.risk,n.event,n.censor,estimate,std.error,conf.high,conf.low,Zoox,Tank,TotalMom,TotalDad
1,7.12.18,8:30,56,4,35.5C,Hot,2,BKxCU,wellA,6,30,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
2,7.12.18,8:30,56,4,35.5C,Hot,2,BKxCU,wellB,14,70,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
3,7.12.18,8:30,56,4,35.5C,Hot,2,BKxCU,wellC,14,70,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
4,7.12.18,8:30,56,4,35.5C,Hot,2,BKxCU,wellD,14,70,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
5,7.12.18,8:30,56,4,35.5C,Hot,2,BKxCU,wellE,11,55,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
6,7.12.18,8:30,56,4,35.5C,Hot,2,BKxCU,wellF,14,70,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
7,7.12.18,8:30,56,4,35.5C,Hot,10,BKxCU,wellA,10,50,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
8,7.12.18,8:30,56,4,35.5C,Hot,10,BKxCU,wellB,18,90,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
9,7.12.18,8:30,56,4,35.5C,Hot,10,BKxCU,wellC,19,95,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
10,7.12.18,8:30,56,4,35.5C,Hot,10,BKxCU,wellD,12,60,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
11,7.12.18,8:30,56,4,35.5C,Hot,10,BKxCU,wellE,18,90,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
12,7.12.18,8:30,56,4,35.5C,Hot,10,BKxCU,wellF,12,60,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
13,7.12.18,8:30,56,4,35.5C,Hot,11,BKxDR,wellA,6,30,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
14,7.12.18,8:30,56,4,35.5C,Hot,11,BKxDR,wellB,15,75,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
15,7.12.18,8:30,56,4,35.5C,Hot,11,BKxDR,wellC,11,55,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
16,7.12.18,8:30,56,4,35.5C,Hot,11,BKxDR,wellD,10,50,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
17,7.12.18,8:30,56,4,35.5C,Hot,11,BKxDR,wellE,16,80,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
18,7.12.18,8:30,56,4,35.5C,Hot,11,BKxDR,wellF,9,45,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
19,7.12.18,8:30,56,4,35.5C,Hot,13,BKxBK,wellA,14,70,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
20,7.12.18,8:30,56,4,35.5C,Hot,13,BKxBK,wellB,17,85,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
21,7.12.18,8:30,56,4,35.5C,Hot,13,BKxBK,wellC,11,55,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
22,7.12.18,8:30,56,4,35.5C,Hot,13,BKxBK,wellD,17,85,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
23,7.12.18,8:30,56,4,35.5C,Hot,13,BKxBK,wellE,16,80,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
24,7.12.18,8:30,56,4,35.5C,Hot,13,BKxBK,wellF,9,45,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
25,7.12.18,8:30,56,4,35.5C,Hot,17,BKxLS,wellA,11,55,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
26,7.12.18,8:30,56,4,35.5C,Hot,17,BKxLS,wellB,16,80,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
27,7.12.18,8:30,56,4,35.5C,Hot,17,BKxLS,wellC,15,75,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
28,7.12.18,8:30,56,4,35.5C,Hot,17,BKxLS,wellD,18,90,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
29,7.12.18,8:30,56,4,35.5C,Hot,17,BKxLS,wellE,16,80,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
30,7.12.18,8:30,56,4,35.5C,Hot,17,BKxLS,wellF,17,85,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
31,7.12.18,8:30,56,4,35.5C,Hot,53,BKxLS,wellA,11,55,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
32,7.12.18,8:30,56,4,35.5C,Hot,53,BKxLS,wellB,8,40,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
33,7.12.18,8:30,56,4,35.5C,Hot,53,BKxLS,wellC,9,45,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
34,7.12.18,8:30,56,4,35.5C,Hot,53,BKxLS,wellD,11,55,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
35,7.12.18,8:30,56,4,35.5C,Hot,53,BKxLS,wellE,10,50,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
36,7.12.18,8:30,56,4,35.5C,Hot,53,BKxLS,wellF,11,55,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
37,7.12.18,8:30,56,4,35.5C,Hot,57,BKxSB,wellA,18,90,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
38,7.12.18,8:30,56,4,35.5C,Hot,57,BKxSB,wellB,16,80,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
39,7.12.18,8:30,56,4,35.5C,Hot,57,BKxSB,wellC,7,35,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
40,7.12.18,8:30,56,4,35.5C,Hot,57,BKxSB,wellD,10,50,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
41,7.12.18,8:30,56,4,35.5C,Hot,57,BKxSB,wellE,9,45,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
42,7.12.18,8:30,56,4,35.5C,Hot,57,BKxSB,wellF,4,20,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
43,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellA,11,55,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
44,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellB,13,65,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
