,Date,Time,Cumulative.hrs,Timepoint,Treatment,Boat,Parentage,Well,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook
1,5.12.18,9:40,9,1,35.5C,2,BK x CU,wellA,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5.12.18,9:40,9,1,35.5C,2,BK x CU,wellB,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5.12.18,9:40,9,1,35.5C,2,BK x CU,wellC,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5.12.18,9:40,9,1,35.5C,2,BK x CU,wellD,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5.12.18,9:40,9,1,35.5C,2,BK x CU,wellE,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5.12.18,9:40,9,1,35.5C,2,BK x CU,wellF,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5.12.18,9:40,9,1,35.5C,10,BK x CU,wellA,100,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA
8,5.12.18,9:40,9,1,35.5C,10,BK x CU,wellB,100,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA
9,5.12.18,9:40,9,1,35.5C,10,BK x CU,wellC,100,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA
10,5.12.18,9:40,9,1,35.5C,10,BK x CU,wellD,100,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA
11,5.12.18,9:40,9,1,35.5C,10,BK x CU,wellE,100,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA
12,5.12.18,9:40,9,1,35.5C,10,BK x CU,wellF,100,Backnumbers,Curd,27,NA,NA,NA,NA,NA,NA,NA,NA
13,5.12.18,9:40,9,1,35.5C,11,BK x DR,wellA,90,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,5.12.18,9:40,9,1,35.5C,11,BK x DR,wellB,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5.12.18,9:40,9,1,35.5C,11,BK x DR,wellC,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5.12.18,9:40,9,1,35.5C,11,BK x DR,wellD,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,5.12.18,9:40,9,1,35.5C,11,BK x DR,wellE,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,5.12.18,9:40,9,1,35.5C,11,BK x DR,wellF,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,5.12.18,9:40,9,1,35.5C,13,BK x BK,wellA,100,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5.12.18,9:40,9,1,35.5C,13,BK x BK,wellB,100,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,5.12.18,9:40,9,1,35.5C,13,BK x BK,wellC,95,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,5.12.18,9:40,9,1,35.5C,13,BK x BK,wellD,95,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,5.12.18,9:40,9,1,35.5C,13,BK x BK,wellE,95,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,5.12.18,9:40,9,1,35.5C,13,BK x BK,wellF,95,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,5.12.18,9:40,9,1,35.5C,17,BK x LS,wellA,85,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,5.12.18,9:40,9,1,35.5C,17,BK x LS,wellB,90,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,5.12.18,9:40,9,1,35.5C,17,BK x LS,wellC,100,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5.12.18,9:40,9,1,35.5C,17,BK x LS,wellD,90,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,5.12.18,9:40,9,1,35.5C,17,BK x LS,wellE,90,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,5.12.18,9:40,9,1,35.5C,17,BK x LS,wellF,95,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,5.12.18,9:40,9,1,35.5C,53,BK x LS,wellA,100,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,5.12.18,9:40,9,1,35.5C,53,BK x LS,wellB,95,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,5.12.18,9:40,9,1,35.5C,53,BK x LS,wellC,95,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,5.12.18,9:40,9,1,35.5C,53,BK x LS,wellD,100,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,5.12.18,9:40,9,1,35.5C,53,BK x LS,wellE,95,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
